subRegion,year,sex,average,maximum,minimum
Western Asia,2018,Male,302.25,2113,4
Western Asia,2019,Female,63.666668,440,0
Western Asia,2019,Male,238.88889,1756,6
Western Asia,2020,Female,136.2,747,0
Western Asia,2020,Male,454.7,2617,2
Western Asia,2021,Female,26.666666,79,4
Western Asia,2021,Male,61.8,151,11
Western Europe,2001,Female,155.8,545,38
Western Europe,2001,Male,225.0,819,28
Western Europe,2002,Female,123.833336,492,4
Western Europe,2002,Male,180.66667,689,5
Western Europe,2003,Female,150.6,474,37
Western Europe,2003,Male,216.2,698,27
Western Europe,2004,Female,143.2,487,23
Western Europe,2004,Male,186.6,610,26
Western Europe,2005,Female,117.833336,458,1
Western Europe,2005,Male,166.66667,654,1
Western Europe,2006,Female,131.6,448,24
Western Europe,2006,Male,181.4,596,29
Western Europe,2007,Female,107.666664,442,2
Western Europe,2007,Male,136.0,546,5
Western Europe,2008,Female,96.166664,390,3
Western Europe,2008,Male,127.5,498,4
Western Europe,2009,Female,107.8,367,25
Western Europe,2009,Male,151.0,464,28
Western Europe,2010,Female,81.0,386,0
Western Europe,2010,Male,97.71429,417,0
Western Europe,2011,Female,82.42857,393,0
Western Europe,2011,Male,44.833332,119,1
Western Europe,2012,Female,76.85714,338,0
Western Europe,2012,Male,46.833332,121,0
Western Europe,2013,Female,68.28571,296,0
Western Europe,2013,Male,93.42857,363,0
Western Europe,2014,Female,77.71429,328,0
Western Europe,2014,Male,83.71429,354,0
Western Europe,2015,Female,71.28571,339,0
Western Europe,2015,Male,91.42857,377,1
Western Europe,2016,Female,132.83333,381,0
Western Europe,2016,Male,183.83333,630,0
Western Europe,2017,Female,144.66667,469,0
Western Europe,2017,Male,188.33333,531,0
Western Europe,2018,Female,126.666664,380,1
Western Europe,2018,Male,182.83333,517,0
Western Europe,2019,Female,120.0,367,1
Western Europe,2019,Male,178.16667,520,0
Western Europe,2020,Female,95.71429,285,0
Western Europe,2020,Male,146.42857,550,1
Western Europe,2021,Female,93.0,357,0
Western Europe,2021,Male,107.4,425,1
